title,year,citations_scholar,venue,link,source
Performance-Driven QUBO for Recommender Systems on Quantum Annealers,2024,5.0,"arXiv preprint arXiv:2410.15272, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Lo8V22OuN40C,Scholar
Overview of quantumclef 2024: the quantum computing challenge for information retrieval and recommender systems at clef,2024,20.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:BFa5h04uPMwC,Scholar
Intelligent disease progression prediction: overview of iDPP@ CLEF 2024,2024,10.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:U3qCfcK-7lkC,Scholar
What Happened in CLEF For Another While?,2024,1.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:uEM9VtRl8xsC,Scholar
An extensible and unifying approach to retrospective clinical data modeling: the BrainTeaser Ontology,2024,4.0,"Journal of Biomedical Semantics 15 (1), 16, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:cOfwuRB03ygC,Scholar
A quantum annealing instance selection approach for efficient and effective transformer fine-tuning,2024,21.0,"Proceedings of the 2024 ACM SIGIR International Conference on Theory of …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:j7XjBeKFbTsC,Scholar
Using and Evaluating Quantum Computing for Information Retrieval and Recommender Systems,2024,6.0,"Proceedings of the 47th International ACM SIGIR Conference on Research and …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:NnTm98qLMbgC,Scholar
Dimension importance estimation for dense information retrieval,2024,13.0,"Proceedings of the 47th International ACM SIGIR Conference on Research and …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:IyxfXMz2bNAC,Scholar
Uncontextualized significance considered dangerous,2024,2.0,"Proceedings of the 47th International ACM SIGIR Conference on Research and …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:XeErXHja3Z8C,Scholar
Words Blending Boxes. Obfuscating Queries in Information Retrieval using Differential Privacy,2024,,"arXiv preprint arXiv:2405.09306, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:vofGIMt6cyEC,Scholar
